SampleID	marker	SRA_accession	BioSample_accession	BioProject_accession
SABA-SO-01	COI	SRR7969529	SAMN10181932	PRJNA494857
SABA-SO-02	COI	SRR7969505	SAMN10181933	PRJNA494857
SABA-SO-03	COI	SRR7969506	SAMN10181934	PRJNA494857
SABA-UN-01	COI	SRR7969499	SAMN10181935	PRJNA494857
SABA-UN-02	COI	SRR7969500	SAMN10181936	PRJNA494857
SABA-UN-03	COI	SRR7969501	SAMN10181937	PRJNA494857
SKEY1-L-01	COI	SRR7969502	SAMN10181938	PRJNA494857
SKEY1-L-02	COI	SRR7969525	SAMN10181939	PRJNA494857
SKEY1-L-03	COI	SRR7969496	SAMN10181940	PRJNA494857
SKEY1-M-01	COI	SRR7969510	SAMN10181941	PRJNA494857
SKEY1-M-02	COI	SRR7969509	SAMN10181942	PRJNA494857
SKEY1-M-03	COI	SRR7969512	SAMN10181943	PRJNA494857
SKEY1-S-01	COI	SRR7969511	SAMN10181944	PRJNA494857
SKEY1-S-02	COI	SRR7969514	SAMN10181945	PRJNA494857
SKEY1-S-03	COI	SRR7969513	SAMN10181946	PRJNA494857
SKEY1-SO-01	COI	SRR7969516	SAMN10181947	PRJNA494857
SKEY1-SO-02	COI	SRR7969515	SAMN10181948	PRJNA494857
SKEY1-SO-03	COI	SRR7969508	SAMN10181949	PRJNA494857
SKEY1-UN-01	COI	SRR7969507	SAMN10181950	PRJNA494857
SKEY1-UN-02	COI	SRR7969413	SAMN10181951	PRJNA494857
SKEY1-UN-03	COI	SRR7969414	SAMN10181952	PRJNA494857
THW16-L-01	COI	SRR7969411	SAMN10181953	PRJNA494857
THW16-L-02	COI	SRR7969412	SAMN10181954	PRJNA494857
THW16-L-03	COI	SRR7969417	SAMN10181955	PRJNA494857
THW16-M-01	COI	SRR7969418	SAMN10181956	PRJNA494857
THW16-M-02	COI	SRR7969415	SAMN10181957	PRJNA494857
THW16-M-03	COI	SRR7969416	SAMN10181958	PRJNA494857
THW16-S-01	COI	SRR7969408	SAMN10181959	PRJNA494857
THW16-S-02	COI	SRR7969409	SAMN10181960	PRJNA494857
THW16-S-03	COI	SRR7969689	SAMN10181961	PRJNA494857
THW16-SO-01	COI	SRR7969688	SAMN10181962	PRJNA494857
THW16-SO-02	COI	SRR7969687	SAMN10181963	PRJNA494857
THW16-SO-03	COI	SRR7969686	SAMN10181964	PRJNA494857
THW16-UN-01	COI	SRR7969685	SAMN10181965	PRJNA494857
THW16-UN-02	COI	SRR7969684	SAMN10181966	PRJNA494857
THW16-UN-03	COI	SRR7969683	SAMN10181967	PRJNA494857
VALE-L-01	COI	SRR7969682	SAMN10181968	PRJNA494857
VALE-L-02	COI	SRR7969681	SAMN10181969	PRJNA494857
VALE-L-03	COI	SRR7969680	SAMN10181970	PRJNA494857
VALE-M-01	COI	SRR7969540	SAMN10181971	PRJNA494857
VALE-M-02	COI	SRR7969541	SAMN10181972	PRJNA494857
VALE-M-03	COI	SRR7969542	SAMN10181973	PRJNA494857
VALE-S-01	COI	SRR7969543	SAMN10181974	PRJNA494857
VALE-S-02	COI	SRR7969544	SAMN10181975	PRJNA494857
VALE-S-03	COI	SRR7969545	SAMN10181976	PRJNA494857
VALE-SO-01	COI	SRR7969546	SAMN10181977	PRJNA494857
VALE-SO-02	COI	SRR7969547	SAMN10181978	PRJNA494857
VALE-SO-03	COI	SRR7969548	SAMN10181979	PRJNA494857
VALE-UN-01	COI	SRR7969549	SAMN10181980	PRJNA494857
VALE-UN-02	COI	SRR7969557	SAMN10181981	PRJNA494857
VALE-UN-03	COI	SRR7969556	SAMN10181982	PRJNA494857
WADD10-L-01	COI	SRR7969559	SAMN10181983	PRJNA494857
WADD10-L-02	COI	SRR7969558	SAMN10181984	PRJNA494857
WADD10-L-03	COI	SRR7969553	SAMN10181985	PRJNA494857
WADD10-M-01	COI	SRR7969552	SAMN10181986	PRJNA494857
WADD10-M-02	COI	SRR7969555	SAMN10181987	PRJNA494857
WADD10-M-03	COI	SRR7969554	SAMN10181988	PRJNA494857
WADD10-S-01	COI	SRR7969551	SAMN10181989	PRJNA494857
WADD10-S-02	COI	SRR7969550	SAMN10181990	PRJNA494857
WADD10-S-03	COI	SRR7969459	SAMN10181991	PRJNA494857
WADD10-SO-01	COI	SRR7969460	SAMN10181992	PRJNA494857
WADD10-SO-02	COI	SRR7969457	SAMN10181993	PRJNA494857
WADD10-SO-03	COI	SRR7969458	SAMN10181994	PRJNA494857
WADD10-UN-01	COI	SRR7969455	SAMN10181995	PRJNA494857
WADD10-UN-02	COI	SRR7969456	SAMN10181996	PRJNA494857
WADD10-UN-03	COI	SRR7969453	SAMN10181997	PRJNA494857
WADD11-L-01	COI	SRR7969454	SAMN10181998	PRJNA494857
WADD11-L-02	COI	SRR7969451	SAMN10181999	PRJNA494857
WADD11-L-03	COI	SRR7969452	SAMN10182000	PRJNA494857
WADD11-M-01	COI	SRR7969576	SAMN10182001	PRJNA494857
WADD11-M-02	COI	SRR7969577	SAMN10182002	PRJNA494857
WADD11-M-03	COI	SRR7969578	SAMN10182003	PRJNA494857
WADD11-S-01	COI	SRR7969579	SAMN10182004	PRJNA494857
WADD11-S-02	COI	SRR7969572	SAMN10182005	PRJNA494857
WADD11-S-03	COI	SRR7969573	SAMN10182006	PRJNA494857
WADD11-SO-01	COI	SRR7969574	SAMN10182007	PRJNA494857
WADD11-SO-02	COI	SRR7969575	SAMN10182008	PRJNA494857
WADD11-SO-03	COI	SRR7969570	SAMN10182009	PRJNA494857
WADD11-UN-01	COI	SRR7969571	SAMN10182010	PRJNA494857
WADD11-UN-02	COI	SRR7969673	SAMN10182011	PRJNA494857
WADD11-UN-03	COI	SRR7969672	SAMN10182012	PRJNA494857
WADD17-L-01	COI	SRR7969671	SAMN10182013	PRJNA494857
WADD17-L-02	COI	SRR7969670	SAMN10182014	PRJNA494857
WADD17-L-03	COI	SRR7969677	SAMN10182015	PRJNA494857
WADD17-M-01	COI	SRR7969676	SAMN10182016	PRJNA494857
WADD17-M-02	COI	SRR7969675	SAMN10182017	PRJNA494857
WADD17-M-03	COI	SRR7969674	SAMN10182018	PRJNA494857
WADD17-S-01	COI	SRR7969669	SAMN10182019	PRJNA494857
WADD17-S-02	COI	SRR7969668	SAMN10182020	PRJNA494857
WADD17-S-03	COI	SRR7969402	SAMN10182021	PRJNA494857
WADD17-SO-01	COI	SRR7969403	SAMN10182022	PRJNA494857
WADD17-SO-02	COI	SRR7969400	SAMN10182023	PRJNA494857
