sample,total,trimmed-total,trimmed-pe,trimmed-orphans,merged,cluster_thres,clusters_total,clusters_min_cov,cluster_above_thres,queries
RAIL-UN-01,100352,30454,8734,21720,8734,0.97,159,3,58,25414
RAIL-UN-02,137708,33828,5886,27942,5886,0.97,113,3,50,30449
RAIL-UN-03,82470,17217,4086,13131,4086,0.97,79,3,32,14586
SABA-L-01,107352,33230,7976,25254,7974,0.97,241,3,99,28584
SABA-L-02,179800,55602,15246,40356,15244,0.97,245,3,85,46826
SABA-L-03,65808,19728,4206,15522,4202,0.97,181,3,76,17267
SABA-M-01,93352,24914,6042,18872,6022,0.97,145,3,85,21367
SABA-M-02,125544,33551,8880,24671,8880,0.97,102,3,58,28370
SABA-M-03,58170,14527,1950,12577,1950,0.97,94,3,53,13379
SABA-S-01,86394,25050,7648,17402,7648,0.97,374,3,169,20323
SABA-S-02,193940,59037,16386,42651,16382,0.97,594,3,281,49408
SABA-S-03,103694,28071,7514,20557,7514,0.97,345,3,162,23438
SABA-SO-01,78462,18159,2806,15353,2806,0.97,353,3,155,16191
SABA-SO-02,166616,47296,8640,38656,8640,0.97,541,3,248,42115
SABA-SO-03,100162,30665,8362,22303,8362,0.97,377,3,183,25757
SABA-UN-01,113814,32229,8538,23691,8538,0.97,450,3,185,26846
SABA-UN-02,176152,49165,6780,42385,6778,0.97,485,3,235,44824
SABA-UN-03,101318,28683,8426,20257,8426,0.97,341,3,141,23379
SKEY1-L-01,111666,30004,5046,24958,5046,0.97,204,3,81,26802
SKEY1-L-02,127044,30274,6532,23742,6532,0.97,224,3,101,26121
SKEY1-L-03,69658,16912,794,16118,794,0.97,141,3,66,16238
SKEY1-M-01,94828,23299,2598,20701,2596,0.97,289,3,93,21453
SKEY1-M-02,170884,42887,5530,37357,5520,0.97,399,3,137,39278
SKEY1-M-03,60142,15131,1286,13845,1284,0.97,157,3,53,14208
SKEY1-S-01,95394,25929,6102,19827,6102,0.97,224,3,69,22222
SKEY1-S-02,172606,48310,8062,40248,8060,0.97,363,3,118,43441
SKEY1-S-03,81946,22471,5044,17427,5044,0.97,176,3,65,19490
SKEY1-SO-01,75260,14759,1906,12853,1906,0.97,239,3,97,13347
SKEY1-SO-02,178498,45698,8896,36802,8896,0.97,392,3,159,40149
SKEY1-SO-03,98978,25933,4772,21161,4772,0.97,297,3,110,22883
SKEY1-UN-01,71772,18292,4698,13594,4698,0.97,192,3,84,15279
SKEY1-UN-02,166790,44825,8734,36091,8734,0.97,313,3,133,39396
SKEY1-UN-03,97690,25542,6000,19542,5998,0.97,206,3,104,21850
THW16-L-01,72282,19545,2258,17287,2256,0.97,89,3,37,18260
THW16-L-02,136666,42344,9264,33080,9264,0.97,81,3,21,37278
THW16-L-03,80822,19866,516,19350,514,0.97,53,3,17,19507
THW16-M-01,79928,13670,1884,11786,1884,0.97,63,3,28,12517
THW16-M-02,195500,48370,8852,39518,8852,0.97,129,3,41,43448
THW16-M-03,109946,24694,5050,19644,5048,0.97,87,3,39,21728
THW16-S-01,58852,12752,3616,9136,3616,0.97,95,3,64,10451
THW16-S-02,169178,47420,12492,34928,12492,0.97,218,3,118,40416
THW16-S-03,81604,15758,3696,12062,3696,0.97,140,3,69,13275
THW16-SO-01,88050,24097,6202,17895,6198,0.97,183,3,82,20539
THW16-SO-02,200,20,2,18,2,0.97,13,3,2,7
THW16-SO-03,103096,28393,6438,21955,6438,0.97,200,3,102,24756
THW16-UN-01,97848,27677,6604,21073,6602,0.97,164,3,55,23942
THW16-UN-02,346,46,2,44,2,0.97,19,3,5,28
THW16-UN-03,164,19,2,17,2,0.97,11,3,2,7
VALE-L-01,40240,6022,348,5674,348,0.97,97,3,54,5758
VALE-L-02,174006,46588,11114,35474,11114,0.97,206,3,113,40180
VALE-L-03,90110,20593,2986,17607,2986,0.97,146,3,76,18778
VALE-M-01,89054,23204,2154,21050,2152,0.97,189,3,60,21749
VALE-M-02,137510,33371,2676,30695,2674,0.97,180,3,67,31579
VALE-M-03,72074,16600,2950,13650,2950,0.97,148,3,49,14624
VALE-S-01,38078,9346,1410,7936,1410,0.97,120,3,44,8424
VALE-S-02,80810,23138,5956,17182,5952,0.97,210,3,73,19651
VALE-S-03,66070,14705,4160,10545,4160,0.97,150,3,55,11849
VALE-SO-01,47598,14058,2806,11252,2800,0.97,178,3,70,12288
VALE-SO-02,73128,21290,3482,17808,3478,0.97,233,3,74,19126
VALE-SO-03,109542,32827,8120,24707,8120,0.97,322,3,115,27980
VALE-UN-01,125926,36833,8450,28383,8448,0.97,299,3,147,31636
VALE-UN-02,156826,42491,6122,36369,6122,0.97,334,3,148,38631
VALE-UN-03,119654,34571,8414,26157,8412,0.97,287,3,127,29517
WADD10-L-01,82210,19688,3802,15886,3800,0.97,143,3,55,17299
WADD10-L-02,171310,51388,17536,33852,17526,0.97,231,3,94,41039
WADD10-L-03,86850,20194,3452,16742,3452,0.97,148,3,51,18049
WADD10-M-01,10402,2328,512,1816,512,0.97,55,3,16,1964
WADD10-M-02,4108,1075,188,887,188,0.97,56,3,17,925
WADD10-M-03,16540,3553,570,2983,570,0.97,59,3,21,3183
WADD10-S-01,100898,22024,4918,17106,4914,0.97,246,3,83,18678
WADD10-S-02,149452,42732,9854,32878,9844,0.97,365,3,115,36842
WADD10-S-03,94312,19972,3500,16472,3500,0.97,188,3,70,17610
WADD10-SO-01,92900,24955,4720,20235,4716,0.97,290,3,97,21997
WADD10-SO-02,177390,48451,8306,40145,8298,0.97,404,3,141,43450
WADD10-SO-03,107148,29477,5924,23553,5918,0.97,254,3,98,25868
